Name,Year,Rating,Date
Godzilla: King of the Monsters,2019,2.5,4/2/2021
Dune,1984,,4/3/2021
Barry Lyndon,1975,4.5,4/4/2021
Sunday in the Park with George,1986,5,4/5/2021
The Lighthouse,2019,5,4/6/2021
A Beautiful Day in the Neighborhood,2019,3,4/7/2021
Whiplash,2014,5,4/7/2021
Spider-Man: Far from Home,2019,3,4/8/2021
Adaptation.,2002,4.5,4/8/2021
Shiva Baby,2020,4,4/9/2021
Persona,1966,4,4/9/2021
Inland Empire,2006,4.5,4/10/2021
Speed Racer,2008,5,4/11/2021
Company,2008,5,4/11/2021
Popstar: Never Stop Never Stopping,2016,4.5,4/13/2021
On the Waterfront,1954,3.5,4/14/2021
O Brother Where Art Thou?,2000,4,4/15/2021
Network,1976,5,4/16/2021
All That Jazz,1979,4,4/16/2021
Lost Highway,1997,3.5,4/17/2021
Hot Rod,2007,4.5,4/17/2021
Young Frankenstein,1974,3,4/18/2021
Godzilla vs. Kong,2021,2,4/20/2021
Dirty Dancing,1987,4.5,4/22/2021
In Bruges,2008,2,4/22/2021
Do the Right Thing,1989,4.5,4/23/2021
Robin Hood: Men in Tights,1993,3,4/24/2021
RoboCop,1987,4,4/24/2021
Jeanne Dielman 23 quai du Commerce 1080 Bruxelles,1975,4,4/25/2021
Juno,2007,4,4/25/2021
The Godfather,1972,4,4/25/2021
Eraserhead,1977,4.5,4/27/2021
Passion,1996,4,4/28/2021
THX 1138,1971,3,4/28/2021
Mondo Trasho,1969,2.5,4/28/2021
Barb & Star Go to Vista Del Mar,2021,3.5,4/29/2021
Hot Fuzz,2007,5,4/29/2021
Three Colors: Blue,1993,4,4/30/2021
The King of Comedy,1982,4.5,5/1/2021
Scream 2,1997,3.5,5/1/2021
Pink Floyd: The Wall,1982,4.5,5/1/2021
Into the Woods,1991,4,5/2/2021
Some Like It Hot,1959,4.5,5/2/2021
True Stories,1986,5,5/2/2021
Stop Making Sense,1984,5,5/3/2021
Neon Genesis Evangelion,1995,4,5/4/2021
Decalogue I,1989,4,5/5/2021
I'm Not There,2007,3.5,5/5/2021
Flashdance,1983,2,5/5/2021
Mortal Kombat,2021,2,5/5/2021
Tenacious D in The Pick of Destiny,2006,3.5,5/6/2021
American Factory,2019,3.5,5/6/2021
Beastie Boys: Video Anthology,2000,4.5,5/7/2021
A Little Night Music,1977,2,5/9/2021
Little Italy,2018,1,5/9/2021
The Matrix Reloaded,2003,3.5,5/10/2021
The Matrix Revolutions,2003,3,5/10/2021
The Animatrix,2003,2.5,5/11/2021
Isle of Dogs,2018,3.5,5/13/2021
Newsies,1992,4.5,5/13/2021
Snowpiercer,2013,3.5,5/14/2021
Hot Rod,2007,4.5,5/15/2021
Being John Malkovich,1999,4.5,5/16/2021
Cecil B. Demented,2000,3.5,5/17/2021
Begin Again,2013,4,5/19/2021
I'm a Cyborg But That's OK,2006,3.5,5/19/2021
Blade Runner 2049,2017,3.5,5/20/2021
The Truman Show,1998,3.5,5/20/2021
Burn!,1969,3.5,5/20/2021
Jellyfish Eyes,2013,2.5,5/21/2021
Purple Rain,1984,1.5,5/22/2021
Polyester,1981,4.5,5/25/2021
Blue Collar,1978,4.5,5/27/2021
Paris Is Burning,1990,3.5,5/28/2021
David Lynch: The Art Life,2016,2.5,5/28/2021
Bo Burnham: Inside,2021,5,5/30/2021
Happy Death Day,2017,3,5/30/2021
Bo Burnham: Inside,2021,5,5/31/2021
The Mitchells vs. The Machines,2021,4,6/1/2021
Thunder Force,2021,1.5,6/1/2021
Cruella,2021,3.5,6/2/2021
Funeral Parade of Roses,1969,4,6/3/2021
Saving Face,2004,3,6/3/2021
The Killing,1956,3,6/5/2021
Minari,2020,4,6/5/2021
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4,6/6/2021
Citizenfour,2014,4.5,6/7/2021
Eighth Grade,2018,5,6/8/2021
Bo Burnham: Inside,2021,5,6/8/2021
Neon Genesis Evangelion: The End of Evangelion,1997,4,6/9/2021
Divine Trash,1998,3.5,6/10/2021
Muppet Treasure Island,1996,4,6/10/2021
This Filthy World,2006,4,6/11/2021
Valley of the Dolls,1967,3,6/11/2021
Beyond the Valley of the Dolls,1970,3.5,6/11/2021
Scott Pilgrim vs. the World,2010,5,6/12/2021
The Big Sick,2017,5,6/13/2021
Hedwig and the Angry Inch,2001,4.5,6/15/2021
La Cage aux Folles,1978,3,6/16/2021
Before Night Falls,2000,2.5,6/17/2021
Framing Britney Spears,2021,3,6/19/2021
Showgirls,1995,4.5,6/20/2021
Friends: The Reunion,2021,3,6/21/2021
Shiva Baby,2020,4,6/24/2021
The Straight Story,1999,5,6/27/2021
Great Old Amusement Parks,1999,3.5,6/28/2021
First Reformed,2017,5,7/2/2021
Luca,2021,3.5,7/3/2021
Zola,2020,3.5,7/3/2021
The Black Cauldron,1985,2,7/3/2021
The Comfort of Strangers,1990,2,7/4/2021
My Neighbor Totoro,1988,4,7/4/2021
The Falcon and the Winter Soldier,2021,3,7/5/2021
Shaun of the Dead,2004,4,7/6/2021
Raya and the Last Dragon,2021,2,7/7/2021
Wolfgang,2021,3,7/7/2021
Mishima: A Life in Four Chapters,1985,5,7/8/2021
Kennywood Memories,1988,5,7/9/2021
In the Heights,2021,2.5,7/10/2021
Lemonade Mouth,2011,4.5,7/11/2021
Patty Hearst,1988,4,7/12/2021
Knives Out,2019,4,7/13/2021
Whiplash,2014,5,7/14/2021
Space Jam: A New Legacy,2021,1,7/16/2021
Ingrid Goes West,2017,4.5,7/17/2021
An Evening with Beverly Luff Linn,2018,3,7/17/2021
Desperate Living,1977,3,7/18/2021
A Dirty Shame,2004,4,7/19/2021
Pig,2021,4.5,7/21/2021
Roadrunner: A Film About Anthony Bourdain,2021,3.5,7/22/2021
Xanadu,1980,3,7/23/2021
